component	type	description	status	status_description
0	ica	Independent Component	bad	Auto-detected ECG artifact
1	ica	Independent Component	bad	Auto-detected EOG artifact
2	ica	Independent Component	good	n/a
3	ica	Independent Component	good	n/a
4	ica	Independent Component	good	n/a
5	ica	Independent Component	good	n/a
6	ica	Independent Component	good	n/a
7	ica	Independent Component	good	n/a
8	ica	Independent Component	good	n/a
9	ica	Independent Component	good	n/a
10	ica	Independent Component	good	n/a
11	ica	Independent Component	good	n/a
12	ica	Independent Component	good	n/a
13	ica	Independent Component	good	n/a
14	ica	Independent Component	good	n/a
15	ica	Independent Component	good	n/a
16	ica	Independent Component	good	n/a
17	ica	Independent Component	good	n/a
18	ica	Independent Component	bad	Auto-detected ECG artifact
19	ica	Independent Component	good	n/a
20	ica	Independent Component	good	n/a
21	ica	Independent Component	good	n/a
22	ica	Independent Component	good	n/a
23	ica	Independent Component	good	n/a
24	ica	Independent Component	good	n/a
25	ica	Independent Component	good	n/a
26	ica	Independent Component	good	n/a
27	ica	Independent Component	good	n/a
28	ica	Independent Component	good	n/a
29	ica	Independent Component	good	n/a
