component	type	description	status	status_description
0	ica	Independent Component	good	n/a
1	ica	Independent Component	bad	Auto-detected ECG artifact
2	ica	Independent Component	good	n/a
3	ica	Independent Component	good	n/a
4	ica	Independent Component	good	n/a
5	ica	Independent Component	good	n/a
6	ica	Independent Component	good	n/a
7	ica	Independent Component	good	n/a
8	ica	Independent Component	good	n/a
9	ica	Independent Component	good	n/a
10	ica	Independent Component	good	n/a
11	ica	Independent Component	good	n/a
12	ica	Independent Component	good	n/a
13	ica	Independent Component	good	n/a
14	ica	Independent Component	good	n/a
15	ica	Independent Component	good	n/a
16	ica	Independent Component	good	n/a
17	ica	Independent Component	good	n/a
18	ica	Independent Component	good	n/a
19	ica	Independent Component	good	n/a
20	ica	Independent Component	good	n/a
21	ica	Independent Component	good	n/a
22	ica	Independent Component	good	n/a
23	ica	Independent Component	good	n/a
24	ica	Independent Component	good	n/a
25	ica	Independent Component	good	n/a
26	ica	Independent Component	good	n/a
27	ica	Independent Component	good	n/a
28	ica	Independent Component	good	n/a
29	ica	Independent Component	good	n/a
30	ica	Independent Component	good	n/a
31	ica	Independent Component	good	n/a
32	ica	Independent Component	good	n/a
33	ica	Independent Component	good	n/a
34	ica	Independent Component	good	n/a
35	ica	Independent Component	good	n/a
36	ica	Independent Component	good	n/a
37	ica	Independent Component	bad	Auto-detected ECG artifact
38	ica	Independent Component	good	n/a
39	ica	Independent Component	good	n/a
40	ica	Independent Component	good	n/a
41	ica	Independent Component	good	n/a
42	ica	Independent Component	good	n/a
43	ica	Independent Component	good	n/a
44	ica	Independent Component	good	n/a
45	ica	Independent Component	good	n/a
46	ica	Independent Component	good	n/a
47	ica	Independent Component	good	n/a
48	ica	Independent Component	good	n/a
49	ica	Independent Component	good	n/a
50	ica	Independent Component	good	n/a
51	ica	Independent Component	good	n/a
52	ica	Independent Component	good	n/a
53	ica	Independent Component	good	n/a
54	ica	Independent Component	good	n/a
55	ica	Independent Component	good	n/a
56	ica	Independent Component	bad	Auto-detected ECG artifact
